Currency;Name;Units_per_USD;USD_per_Unit;Country
EUR;Euro;0.7528922055;1.3282113863;EU
EUR;Euro;0.7528922055;1.3282113863;Austria
EUR;Euro;0.7528922055;1.3282113863;Belgium
EUR;Euro;0.7528922055;1.3282113863;Estonia
EUR;Euro;0.7528922055;1.3282113863;Finland
EUR;Euro;0.7528922055;1.3282113863;France
EUR;Euro;0.7528922055;1.3282113863;Germany
EUR;Euro;0.7528922055;1.3282113863;Greece
EUR;Euro;0.7528922055;1.3282113863;Ireland
EUR;Euro;0.7528922055;1.3282113863;Italy
EUR;Euro;0.7528922055;1.3282113863;Latvia
EUR;Euro;0.7528922055;1.3282113863;Lithuania
EUR;Euro;0.7528922055;1.3282113863;Netherlands
EUR;Euro;0.7528922055;1.3282113863;Portugal
EUR;Euro;0.7528922055;1.3282113863;Spain
